t,value
1606739936,32
1606739939,32
1606739942,32
1606739945,32
1606739948,32
1606739951,32
1606739954,32
1606739957,32
1606739960,32
1606739963,32
1606739966,32
1606739969,32
1606739972,32
1606739975,32
1606739978,32
1606739981,32
1606739984,32
1606739987,32
1606739990,32
1606739993,32
1606739996,32
1606739999,32
1606740002,32
1606740005,32
1606740008,32
1606740011,32
1606740014,32
1606740017,32
1606740020,32
1606740023,32
1606740026,32
1606740029,32
1606740032,32
1606740035,32
1606740038,32
1606740041,32
1606740044,32
1606740047,32
1606740050,32
1606740053,32
1606740056,32
1606740059,32
1606740062,32
1606740065,32
1606740068,32
1606740071,32
1606740074,32
1606740077,32
1606740080,32
1606740083,32
1606740086,32
1606740089,32
1606740092,32
1606740095,32
1606740098,32
1606740101,32
1606740104,32
1606740107,32
1606740110,32
1606740113,32
1606740116,32
1606740119,32
1606740122,32
1606740125,32
1606740128,32
1606740131,32
1606740134,32
1606740137,32
1606740140,32
1606740143,32
1606740146,32
1606740149,32
1606740152,32
1606740155,32
1606740158,32
1606740161,32
1606740164,32
1606740167,32
1606740170,32
1606740173,32
1606740176,32
1606740179,32
1606740182,32
1606740185,32
1606740188,32
1606740191,32
1606740194,32
1606740197,32
1606740200,32
1606740203,32
1606740206,32
1606740209,32
1606740212,32
1606740215,32
1606740218,32
1606740221,32
1606740224,32
1606740227,32
1606740230,32
1606740233,32
1606740236,32
1606740239,32
1606740242,32
1606740245,32
1606740248,32
1606740251,32
1606740254,32
1606740257,32
1606740260,32
1606740263,32
1606740266,32
1606740269,32
1606740272,32
1606740275,32
1606740278,32
1606740281,32
1606740284,32
1606740287,32
1606740290,32
1606740293,32
1606740296,32
1606740299,32
1606740302,32
1606740305,32
1606740308,32
1606740311,32
1606740314,32
1606740317,32
1606740320,32
1606740323,32
1606740326,32
1606740329,32
1606740332,32
1606740335,32
1606740338,32
1606740341,32
1606740344,32
1606740347,32
1606740350,32
1606740353,32
1606740356,32
1606740359,32
1606740362,32
1606740365,32
1606740368,32
1606740371,32
1606740374,32
1606740377,32
1606740380,32
1606740383,32
1606740386,32
1606740389,32
1606740392,32
1606740395,32
1606740398,32
1606740401,32
1606740404,32
1606740407,32
1606740410,32
1606740413,32
1606740416,32
1606740419,32
1606740422,32
1606740425,32
1606740428,32
1606740431,32
1606740434,32
1606740437,32
1606740440,32
1606740443,32
1606740446,32
1606740449,32
1606740452,32
1606740455,32
1606740458,32
1606740461,32
1606740464,32
1606740467,32
1606740470,32
1606740473,32
1606740476,32
1606740479,32
1606740482,32
1606740485,32
1606740488,32
1606740491,32
1606740494,32
1606740497,32
1606740500,32
1606740503,32
1606740506,32
1606740509,32
1606740512,32
1606740515,32
1606740518,32
1606740521,32
1606740524,32
1606740527,32
1606740530,32
1606740533,32
1606740536,32
1606740539,32
1606740542,32
1606740545,32
1606740548,32
1606740551,32
1606740554,32
1606740557,32
1606740560,32
1606740563,32
1606740566,32
1606740569,32
1606740572,32
1606740575,32
1606740578,32
1606740581,32
1606740584,32
1606740587,32
1606740590,32
1606740593,32
1606740596,32
1606740599,32
1606740602,32
1606740605,32
1606740608,32
1606740611,32
1606740614,32
1606740617,32
1606740620,32
1606740623,32
1606740626,32
1606740629,32
1606740632,32
1606740635,32
1606740638,32
1606740641,32
1606740644,32
1606740647,32
1606740650,32
1606740653,32
1606740656,32
1606740659,32
1606740662,32
1606740665,32
1606740668,32
1606740671,32
1606740674,32
1606740677,32
1606740680,32
1606740683,32
1606740686,32
1606740689,32
1606740692,32
1606740695,32
1606740698,32
1606740701,32
1606740704,32
1606740707,32
1606740710,32
1606740713,32
1606740716,32
1606740719,32
1606740722,32
1606740725,32
1606740728,32
1606740731,32
1606740734,32
1606740737,32
1606740740,32
1606740743,32
1606740746,32
1606740749,32
1606740752,32
1606740755,32
1606740758,32
1606740761,32
1606740764,32
1606740767,32
1606740770,32
1606740773,32
1606740776,32
1606740779,32
1606740782,32
1606740785,32
1606740788,32
1606740791,32
1606740794,32
1606740797,32
1606740800,32
1606740803,32
1606740806,32
1606740809,32
1606740812,32
1606740815,32
1606740818,32
1606740821,32
1606740824,32
1606740827,32
1606740830,32
1606740833,32
1606740836,32
1606740839,32
1606740842,32
1606740845,32
1606740848,32
1606740851,32
1606740854,32
1606740857,32
1606740860,32
1606740863,32
1606740866,32
1606740869,32
1606740872,32
1606740875,32
1606740878,32
1606740881,32
1606740884,32
1606740887,32
1606740890,32
1606740893,32
1606740896,32
1606740899,32
1606740902,32
1606740905,32
1606740908,32
1606740911,32
1606740914,32
1606740917,32
1606740920,32
1606740923,32
1606740926,32
1606740929,32
1606740932,32
1606740935,32
1606740938,32
1606740941,32
1606740944,32
1606740947,32
1606740950,32
1606740953,32
1606740958,32
1606740959,32
1606740962,32
1606740965,32
1606740968,32
1606740971,32
1606740974,32
1606740977,32
1606740980,32
1606740983,32
1606740986,32
1606740989,32
1606740992,32
1606740995,32
1606740998,32
1606741001,32
1606741004,32
1606741007,32
1606741010,32
1606741013,32
1606741016,32
1606741019,32
1606741022,32
1606741025,32
1606741028,32
1606741031,32
1606741034,32
1606741037,32
1606741040,32
1606741043,32
1606741046,32
1606741049,32
1606741052,32
1606741055,32
1606741058,32
1606741061,32
1606741064,32
1606741067,32
1606741070,32
1606741073,32
1606741076,32
1606741079,32
1606741082,32
1606741085,32
1606741088,32
1606741091,32
1606741094,32
1606741097,32
1606741100,32
1606741103,32
1606741106,32
1606741109,32
1606741112,32
1606741115,32
1606741118,32
1606741121,32
1606741124,32
1606741127,32
1606741130,32
1606741133,32
1606741136,32
1606741139,32
1606741142,32
1606741145,32
1606741148,32
1606741151,32
1606741154,32
1606741157,32
1606741160,32
1606741163,32
1606741166,32
1606741169,32
1606741172,32
1606741175,32
1606741178,32
1606741181,32
1606741184,32
1606741187,32
1606741190,32
1606741193,32
1606741196,32
1606741199,32
1606741202,32
1606741205,32
1606741208,32
1606741211,32
1606741214,32
1606741217,32
1606741220,32
1606741223,32
1606741226,32
1606741229,32
1606741232,32
1606741235,32
1606741238,32
1606741241,32
1606741244,32
1606741247,32
1606741250,32
1606741253,32
1606741256,32
1606741259,32
1606741262,32
1606741265,32
1606741268,32
1606741271,32
1606741274,32
1606741277,32
1606741280,32
1606741283,32
1606741286,32
1606741289,32
1606741292,32
1606741295,32
1606741298,32
1606741301,32
1606741304,32
1606741307,32
1606741310,32
1606741313,32
1606741316,32
1606741319,32
1606741322,32
1606741325,32
1606741328,32
1606741331,32
1606741334,32
1606741337,32
1606741340,32
1606741343,32
1606741346,32
1606741349,32
1606741352,32
1606741355,32
1606741358,32
1606741361,32
1606741364,32
1606741367,32
1606741370,32
1606741373,32
1606741376,32
1606741379,32
1606741382,32
1606741385,32
1606741388,32
1606741391,32
1606741394,32
1606741397,32
1606741400,32
1606741403,32
1606741406,32
1606741409,32
1606741412,32
1606741415,32
1606741418,32
1606741421,32
1606741424,32
1606741427,32
1606741430,32
1606741433,32
1606741436,32
1606741439,32
1606741442,32
1606741445,32
1606741448,32
1606741451,32
1606741454,32
1606741457,32
1606741460,32
1606741463,32
1606741466,32
1606741469,32
1606741472,32
1606741475,32
1606741478,32
1606741481,32
1606741484,32
1606741487,32
1606741490,32
1606741493,32
1606741496,32
1606741499,32
1606741502,32
1606741505,32
1606741508,32
1606741511,32
1606741514,32
1606741517,32
1606741520,32
1606741523,32
1606741526,32
1606741529,32
1606741532,32
1606741535,32
1606741538,32
1606741541,32
1606741544,32
1606741547,32
1606741550,32
1606741553,32
1606741556,32
1606741559,32
1606741562,32
1606741565,32
1606741568,32
1606741571,32
1606741574,32
1606741577,32
1606741580,32
1606741583,32
1606741586,32
1606741589,32
1606741592,32
1606741595,32
1606741598,32
1606741601,32
1606741604,32
1606741607,32
1606741610,32
1606741613,32
1606741616,32
1606741619,32
1606741622,32
1606741625,32
1606741628,32
1606741631,32
1606741634,32
1606741637,32
1606741640,32
1606741643,32
1606741646,32
1606741649,32
1606741652,32
1606741655,32
1606741658,32
1606741661,32
1606741664,32
1606741667,32
1606741670,32
1606741673,32
1606741676,32
1606741679,32
1606741682,32
1606741685,32
1606741688,32
1606741691,32
1606741694,32
1606741697,32
1606741700,32
1606741703,32
1606741706,32
1606741709,32
1606741712,32
1606741715,32
1606741718,32
1606741721,32
1606741724,32
1606741727,32
1606741730,32
1606741733,32
1606741736,32
1606741739,32
1606741742,32
1606741745,32
1606741748,32
1606741751,32
1606741754,32
1606741757,32
1606741760,32
1606741763,32
1606741766,32
1606741769,32
1606741772,32
1606741775,32
1606741778,32
1606741781,32
1606741784,32
1606741787,32
1606741790,32
1606741793,32
1606741796,32
1606741799,32
1606741802,32
1606741805,32
1606741808,32
1606741811,32
1606741814,32
1606741817,32
1606741820,32
1606741823,32
1606741826,32
1606741829,32
1606741832,32
1606741835,32
1606741838,32
1606741841,32
1606741844,32
1606741847,32
1606741850,32
1606741853,32
1606741856,32
1606741859,32
1606741862,32
1606741865,32
1606741868,32
1606741871,32
1606741874,32
1606741877,32
1606741880,32
1606741883,32
1606741886,32
1606741889,32
1606741892,32
1606741895,32
1606741898,32
1606741901,32
1606741904,32
1606741907,32
1606741910,32
1606741913,32
1606741916,32
1606741919,32
1606741922,32
1606741925,32
1606741928,32
1606741931,32
1606741934,32
1606741937,32
1606741940,32
1606741943,32
1606741946,32
1606741949,32
1606741952,32
1606741955,32
1606741958,32
1606741961,32
1606741964,32
1606741967,32
1606741970,32
1606741973,32
1606741976,32
1606741979,32
1606741982,32
1606741985,32
1606741988,32
1606741991,32
1606741994,32
1606741997,32
1606742000,32
1606742003,32
1606742006,32
1606742009,32
1606742012,32
1606742015,32
1606742018,32
1606742021,32
1606742024,32
1606742027,32
1606742030,32
1606742033,32
1606742036,32
1606742039,32
1606742042,32
1606742045,32
1606742048,32
1606742051,32
1606742054,32
1606742057,32
1606742060,32
1606742063,32
1606742066,32
1606742069,32
1606742072,32
1606742075,32
1606742078,32
1606742081,32
1606742084,32
1606742087,32
1606742090,32
1606742093,32
1606742096,32
1606742099,32
1606742102,32
1606742105,32
1606742108,32
1606742111,32
1606742114,32
1606742117,32
1606742120,32
1606742123,32
1606742126,32
1606742129,32
1606742132,32
1606742135,32
1606742138,32
1606742141,32
1606742144,32
1606742147,32
1606742150,32
1606742153,32
1606742156,32
1606742159,32
1606742162,32
1606742165,32
1606742168,32
1606742171,32
1606742174,32
1606742177,32
1606742180,32
1606742183,32
1606742186,32
1606742189,32
1606742192,32
1606742195,32
1606742198,32
1606742201,32
1606742204,32
1606742207,32
1606742210,32
1606742213,32
1606742216,32
1606742219,32
1606742222,32
1606742225,32
1606742228,32
1606742231,32
1606742234,32
1606742237,32
1606742240,32
1606742243,32
1606742246,32
1606742249,32
1606742252,32
1606742255,32
1606742258,32
1606742261,32
1606742264,32
1606742267,32
1606742270,32
1606742273,32
1606742276,32
1606742279,32
1606742282,32
1606742285,32
1606742288,32
1606742291,32
1606742294,32
1606742297,32
1606742300,32
1606742303,32
1606742306,32
1606742309,32
1606742312,32
1606742315,32
1606742318,32
1606742321,32
1606742324,32
1606742327,32
1606742330,32
1606742333,32
1606742336,32
1606742339,32
1606742342,32
1606742345,32
1606742348,32
1606742351,32
1606742354,32
1606742357,32
1606742360,32
1606742363,32
1606742366,32
1606742369,32
1606742372,32
1606742375,32
1606742378,32
1606742381,32
1606742384,32
1606742387,32
1606742390,32
1606742393,32
1606742396,32
1606742399,32
1606742402,32
1606742405,32
1606742408,32
1606742411,32
1606742414,32
1606742417,32
1606742420,32
1606742423,32
1606742426,32
1606742429,32
1606742432,32
1606742435,32
1606742438,32
1606742441,32
1606742444,32
1606742447,32
1606742450,32
1606742453,32
1606742456,32
1606742459,32
1606742462,32
1606742465,32
1606742468,32
1606742471,32
1606742474,32
1606742477,32
1606742480,32
1606742483,32
1606742486,32
1606742489,32
1606742492,32
1606742495,32
1606742498,32
1606742501,32
1606742504,32
1606742507,32
1606742510,32
1606742513,32
1606742516,32
1606742519,32
1606742522,32
1606742525,32
1606742528,32
1606742531,32
1606742534,32
1606742537,32
1606742540,32
1606742543,32
1606742546,32
1606742549,32
1606742552,32
1606742555,32
1606742558,32
1606742561,32
1606742564,32
1606742567,32
1606742570,32
1606742573,32
1606742576,32
1606742579,32
1606742582,32
1606742585,32
1606742588,32
1606742591,32
1606742594,32
1606742597,32
1606742600,32
1606742603,32
1606742606,32
1606742609,32
1606742612,32
1606742615,32
1606742618,32
1606742621,32
1606742624,32
1606742627,32
1606742630,32
1606742633,32
1606742636,32
1606742639,32
1606742642,32
1606742645,32
1606742648,32
1606742651,32
1606742654,32
1606742657,32
1606742660,32
1606742663,32
1606742666,32
1606742669,32
1606742672,32
1606742675,32
1606742678,32
1606742681,32
1606742684,32
1606742687,32
1606742690,32
1606742693,32
1606742696,32
1606742699,32
1606742702,32
1606742705,32
1606742708,32
1606742711,32
1606742714,32
1606742717,32
1606742720,32
1606742723,32
1606742726,32
1606742729,32
1606742732,32
1606742735,32
1606742738,32
1606742741,32
1606742744,32
1606742747,32
1606742750,32
1606742753,32
1606742756,32
1606742759,32
1606742762,32
1606742765,32
1606742768,32
1606742771,32
1606742774,32
1606742777,32
1606742780,32
1606742783,32
1606742786,32
1606742789,32
1606742792,32
1606742795,32
1606742798,32
1606742801,32
1606742804,32
1606742807,32
1606742810,32
1606742813,32
1606742816,32
1606742819,32
1606742822,32
1606742825,32
1606742828,32
1606742831,32
1606742834,32
1606742837,32
1606742840,32
1606742843,32
1606742846,32
1606742849,32
1606742852,32
1606742855,32
1606742858,32
1606742861,32
1606742864,32
1606742867,32
t,value
1606743147,32
1606743151,32
1606743153,32
1606743156,32
1606743159,32
1606743162,32
1606743165,32
1606743168,32
1606743171,32
1606743174,32
1606743177,32
1606743180,32
1606743183,32
1606743186,32
1606743189,32
1606743192,32
1606743195,32
1606743198,32
1606743201,32
1606743204,32
1606743207,32
1606743210,32
1606743213,32
1606743216,32
1606743219,32
1606743222,32
1606743225,32
1606743228,32
1606743231,32
1606743234,32
1606743237,32
1606743240,32
1606743243,32
1606743246,32
1606743249,32
1606743252,32
1606743255,32
1606743258,32
1606743261,32
1606743264,32
1606743267,32
1606743270,32
1606743273,32
1606743276,32
1606743279,32
1606743282,32
1606743285,32
1606743288,32
1606743291,32
1606743294,32
1606743297,32
1606743300,32
1606743303,32
1606743306,32
1606743309,32
1606743312,32
1606743315,32
1606743318,32
1606743321,32
1606743324,32
1606743327,32
1606743330,32
1606743333,32
1606743336,32
1606743339,32
1606743342,32
1606743345,32
1606743348,32
1606743351,32
1606743354,32
1606743357,32
1606743360,32
1606743363,32
1606743366,32
1606743369,32
1606743372,32
1606743375,32
1606743378,32
1606743381,32
1606743384,32
1606743387,32
1606743390,32
1606743393,32
1606743396,32
1606743399,32
1606743402,32
1606743405,32
1606743408,32
1606743411,32
1606743414,32
1606743417,32
1606743420,32
1606743423,32
1606743426,32
1606743429,32
1606743432,32
1606743435,32
1606743438,32
1606743441,32
1606743444,32
1606743447,32
1606743450,32
1606743453,32
1606743456,32
1606743459,32
1606743462,32
1606743465,32
1606743468,32
1606743471,32
1606743474,32
1606743477,32
1606743480,32
1606743483,32
1606743486,32
1606743489,32
1606743492,32
1606743495,32
1606743498,32
1606743501,32
1606743504,32
1606743507,32
1606743510,32
1606743513,32
1606743516,32
1606743519,32
1606743522,32
1606743525,32
1606743528,32
1606743531,32
1606743534,32
1606743537,32
1606743540,32
1606743543,32
1606743546,32
1606743549,32
1606743552,32
1606743555,32
1606743558,32
1606743561,32
1606743564,32
1606743567,32
1606743570,32
1606743573,32
1606743576,32
1606743579,32
1606743582,32
1606743585,32
1606743588,32
1606743591,32
1606743594,32
1606743597,32
1606743600,32
1606743603,32
1606743606,32
1606743609,32
1606743612,32
1606743615,32
1606743618,32
1606743621,32
1606743624,32
1606743627,32
1606743630,32
1606743633,32
1606743636,32
1606743639,32
1606743642,32
1606743645,32
1606743648,32
1606743651,32
1606743654,32
1606743657,32
